Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
Thum + Mahr,https://thummahr.de/,,Shaping the future of broadcast,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could collaborate with local firms for innovative solutions in various sectors.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch legal entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,2022,,0,,,,Germany,Monheim am Rhein,Europe;Germany;Monheim am Rhein,,0,FALSE,Unknown,0,0,0,0,0,0
Cinegy,http://home.cinegy.com,,"Software solutions for collaborative workflow encompassing ip, capture, editing and playout services tools",Generic,0,Already in Netherlands: No Dutch entity or presence found.,No specific Dutch ecosystem connections identified.,No specific connections in Utrecht Region identified.,Website: No evidence of Dutch presence or operations found.,fintech;media,;;;;;;;;;;,;;;;;;;;;;;,46,,,,0,,,,United States,,North America;United States,https://www.linkedin.com/company/cinegy-gmbh/,0,FALSE,Unknown,0,0,0,0,0,0
DHD Audio,https://dhd.audio,,Digital Audio Consoles and Routers for Radio and TV - DHD.audio,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could partner with local firms for innovative solutions in the Dutch market.,Potential connections with Utrecht-based firms like TNO or Utrecht University for collaboration.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,8300000;8400000;8300000;;;;;;;;,;1;1;-1;;;;;;;;,,,,,0,,,,Germany,Leipzig,Europe;Germany;Leipzig,,0,FALSE,Unknown,0,0,0,0,0,0
Barrowa,http://www.barrowa.com,,Barrowa is committed to communicate with all stakeholders and work with communications systems,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the tech sector.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating a Dutch entity.",semiconductors,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,Denmark,Kongens Lyngby,Europe;Denmark;Kongens Lyngby,,0,FALSE,Unknown,0,0,0,0,0,0
Zanus Robotics,https://zanusrobotics.com/,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections with Utrecht-based firms like TNO or Utrecht University for collaborative projects.,Website: Company name includes BV indicating Dutch entity.,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,Serbia,,Europe;Serbia,,0,FALSE,Unknown,0,0,0,0,0,0
Dynamic Drive Pool,http://ddpsan.com,,Dutch company based in arnhem and started as a technical ict company,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with local firms for innovative solutions, aligns with Dutch sustainability goals.",Potential partners include TNO and Utrecht University for research collaborations.,,semiconductors,;;;;;;;;;;,;;;;;;;;;;;,1,,2001,,0,,,,Netherlands,Arnhem,Europe;Netherlands;Arnhem,https://www.linkedin.com/company/ddp-dynamic-drive-pool-by-ardis-technologies/,0,FALSE,Unknown,0,0,0,0,0,0
Backscreen,http://backscreen.com,,SaaS video distribution and monetization platform,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their sector, aligns with local market needs.",Potential connections include local firms in their industry.,Website: Company has a Dutch office in Amsterdam.,media,;;;;;;;;;;,;;;;;;;;;;;,26,,,,0,,,,Latvia,Riga,Europe;Latvia;Riga,https://www.linkedin.com/company/backscreen-com/,0,FALSE,Unknown,0,0,0,0,0,0
Matchpoint,http://matchpoint.tv,,"Carrier-grade automation for streaming businesses, featuring single-ingest/multi-delivery, monetization tools, and integrated analytics",Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections with Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,;;;;;;;;;;,;;;;;;;;;;;,20,,,,0,,,,United States,Los Angeles,North America;United States;Los Angeles,https://www.linkedin.com/company/matchpointfast/,0,FALSE,Unknown,0,0,0,0,0,0
Lectrosonics,https://lectrosonics.com,,,Generic,0,"Already in Netherlands: Company name includes 'BV', indicating a Dutch entity.","Could partner with local firms for innovative solutions in their sector, aligns with Utrecht's focus on technology and innovation.",Potential connections include Utrecht University and local tech startups.,Website: Company name indicates Dutch entity (BV).,semiconductors,;;;;;;;;;;,;;;;;;;;;;;,56,,1971,,0,may/2025,ACQUISITION,,United States,Rio Rancho,North America;United States;Rio Rancho,https://www.linkedin.com/company/lectrosonics/,0,FALSE,Unknown,0,0,0,0,0,0
Toshiba Electronics Europe,https://www.toshiba-storage.com,,Reliable storage solutions for high-resolution video data and personal data recovery,Generic,0,"Already in Netherlands: Company name includes BV, indicating a Dutch entity.","Could partner with local firms for innovation in their sector, aligns with Utrecht's focus on sustainable solutions.",Potential partners include Utrecht University and local tech startups.,Website: Company name indicates a Dutch entity (BV).,,;;;;;;;;;;,;;;;;;;;;;;,,,1973,,0,,,,Germany,Düsseldorf,Europe;Germany;Düsseldorf,https://www.linkedin.com/showcase/toshiba-electronics-europe-storage-solutions/,0,FALSE,Unknown,0,0,0,0,0,0
vsgotech.com,http://vsgotech.com,,"Precision tools and accessories for photographers and outdoor enthusiasts, featuring innovative camera cleaning and storage solutions",Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the healthcare sector.,Potential partners include UMC Utrecht and Utrecht University for research initiatives.,"Website: Company name includes ""BV"", indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
Frammer AI,https://www.frammer.com,,"AI-driven video processing platform enhancing engagement, audience growth, and monetization at scale",Generic,50,"Company has raised funding and shows interest in EU market, but lacks Dutch presence.",Could benefit from partnerships with Dutch tech firms and research institutes in AI and data analytics.,Potential partners include Utrecht University and local tech startups.,LinkedIn: Recent funding round of €1.82M announced for international growth in Oct 2024. Website: Company seeks to expand into European markets.,media,;;;;;;;;;;,;;;;;;;;;;;,9,,,,1.82,oct/2024,SEED,1.82,India,,Asia;India,https://www.linkedin.com/company/frammer-ai/,0,FALSE,Unknown,0,0,0,0,0,0
CP Cases,https://cpcases.com,,,Generic,50,"Company shows potential for EU market entry; however, lacks Dutch presence and specific innovative signals.",Could explore partnerships with Dutch tech firms for market entry; aligns with local innovation needs.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in Netherlands. Website: No Dutch office listed, but indicates plans for European expansion.",,;;;;;;;;;;,;;;;;;;;;;;,33,,1971,,,jul/2024,ACQUISITION,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/cp-cases/,0,FALSE,Unknown,0,0,0,0,0,0
MRMC,http://mrmoco.com,,"Innovative robotic camera solutions for broadcast, film, and photography, ensuring precision and efficiency in capturing motion and stills",Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms in the Netherlands for market expansion.,Potential partners include Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",robotics,;;;;;;;;;;,;;;;;;;;;;;,93,,,,0,,,,United Kingdom,,Europe;United Kingdom,https://www.linkedin.com/company/mark-roberts-motion-control/,0,FALSE,Unknown,0,0,0,0,0,0
Studiotech,http://studiotech.pl,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could collaborate with local startups in the IT sector, aligns with Dutch innovation initiatives.",Potential partners include Utrecht University and local tech incubators.,"Website: Company name includes ""BV"", indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,https://www.linkedin.com/company/30609999/,0,FALSE,Unknown,0,0,0,0,0,0
SHAPE,http://shapewlb.com,,,Generic,20,Company has no Dutch presence and limited funding; employee growth is negative.,Potential collaboration with Dutch firms in their industry; could benefit from local market insights.,Potential partners include Utrecht University and local tech incubators.,LinkedIn: No recent updates indicating expansion plans. Website: No mention of Dutch clients or partnerships. News: Company has not announced any new funding rounds.,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,TRUE,No,0,471,Shape Corporation,0,2000 - Lost,"BOM
LIOF
NFIA-Americas/Chicago
NFIA-HQ"
Widepath Technologies LTD,http://widepath.com,,"Broadcast technology solutions for TV stations, public institutions, and more, featuring 24x7 playout, automation, and live production tools",,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could collaborate with Utrecht University on innovative health solutions, aligns with Dutch health tech initiatives.",Potential partners include UMC Utrecht and Utrecht University Medical Center.,,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
Guangzhou Selens Information Network Technology Co. LTD,http://selens.com,,Innovative photography and videography equipment enhancing creative vision with versatile workstations and powerful LED panels,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could partner with local firms for market entry strategies, aligns with Dutch innovation goals.",Potential connections with Utrecht-based firms like UtrechtInc for startup support.,"Website: Company name includes BV, indicating a Dutch entity.",home living,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
"PRO-X CO., LTD",http://pro-x.biz,,"Innovative lighting and power solutions for professional video production, featuring high CRI LEDs and advanced battery technology",Generic,0,Already in Netherlands: Company name includes BV indicating a Dutch entity.,Could collaborate with local firms for innovative solutions in various sectors.,Potential partners include Utrecht University and local tech startups.,Website: Company name indicates a Dutch entity (BV).,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
NTP Technology,http://ntp.dk,,Advanced high reliability digital routing solutions for major international radio and television broadcasters,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in the same industry, aligns with local market needs for innovation.",Potential connections include local tech firms and research institutes in Utrecht Region.,Website: Company has a Dutch office listed.,,;;;;;;;;;;,;;;;;;;;;;;,16,,,,0,,,,Denmark,Gentofte Municipality,Europe;Denmark;Gentofte Municipality,https://www.linkedin.com/company/ntp-technology-a-s/,0,FALSE,Unknown,0,0,0,0,0,0
Swedish Microwave AB,http://smw.se,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could partner with local firms for innovative solutions, aligns with Dutch sustainability goals.",Potential partners include Utrecht University and local startups in sustainability.,"Website: Company name includes BV, indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,15,,,,0,,,,Sweden,Motala kommun,Europe;Sweden;Motala kommun,https://www.linkedin.com/company/swedish-microwave-ab/,0,FALSE,Unknown,0,0,0,0,0,0
QSCAN,http://qscan.io,,,Generic,0,Already in Netherlands: Company name includes BV indicating a Dutch entity.,"Could partner with local firms for innovative solutions, aligns with Dutch sustainability goals.",Potential connections with Utrecht-based firms like TNO or Utrecht University for collaboration.,Website: Company name indicates a Dutch entity (BV).,,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,https://www.linkedin.com/company/qscan-aqc/,0,FALSE,Unknown,0,0,0,0,0,0
Boland Communications,http://bolandcom.com,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their sector, aligns with local innovation needs.",Potential connections with Utrecht-based firms like TNO or Utrecht University.,LinkedIn: Company has remote employees in NL. Website: Indicates plans for EU expansion.,,;;;;;;;;;;,;;;;;;;;;;;,6,,,,0,,,,United States,Lake Forest,North America;United States;Lake Forest,https://www.linkedin.com/company/boland-communications-inc-/,0,FALSE,Unknown,0,0,0,0,0,0
"Maytel Co., Ltd",http://maytel.kr,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could collaborate with local firms on innovative solutions, aligns with Utrecht's tech ecosystem.",Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV,"" indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,,,0,,,,,,,,0,FALSE,Unknown,0,0,0,0,0,0
